event_ID,site,video_date,Visit_Date,Visit_Date,time,number_individuals,individual,individual_ID,trial_day,event_number,activation_number,sound_stimuli,period,proportion_vis,
RDT1_09Feb_22_2,RDT1,2021-02-09,09Feb,09-02-24,22:17,3,168,,6,92,34,Silent,before,0,
RDT1_09Feb_22_2,RDT1,2021-02-09,09Feb,09-02-24,22:17,3,169,,6,92,34,Silent,before,0.45,
RDT1_09Feb_22_3,RDT1,2021-02-09,09Feb,09-02-24,22:28,3,170,,6,93,12,Novel,before,0.6,
RDT1_09Feb_22_3,RDT1,2021-02-09,09Feb,09-02-24,22:28,3,171,,6,93,12,Novel,before,1,
RDT1_09Feb_22_3,RDT1,2021-02-09,09Feb,09-02-24,22:28,3,172,,6,93,12,Novel,before,NA,
RDT1_09Feb_22_4,RDT1,2021-02-09,09Feb,09-02-24,22:38,3,173,,6,94,35,Silent,before,0.55,
RDT1_09Feb_22_4,RDT1,2021-02-09,09Feb,09-02-24,22:38,3,174,,6,94,35,Silent,before,1,
RDT1_09Feb_22_4,RDT1,2021-02-09,09Feb,09-02-24,22:38,3,175,,6,94,35,Silent,before,0.2,
RDT1_09Feb_23_1,RDT1,2021-02-09,09Feb,09-02-24,23:46,1,176,,6,95,36,Silent,before,0,
RDT1_10Feb_0_1,RDT1,2021-02-10,10Feb,10-02-24,00:03,2,177,,7,96,13,Roedeer,before,0,
RDT1_10Feb_0_1,RDT1,2021-02-10,10Feb,10-02-24,00:03,2,178,,7,96,13,Roedeer,before,NA,
RDT1_10Feb_0_2,RDT1,2021-02-10,10Feb,10-02-24,00:09,2,179,,7,97,37,Silent,before,0.4,
RDT1_10Feb_0_2,RDT1,2021-02-10,10Feb,10-02-24,00:09,2,180,,7,97,37,Silent,before,0.75,
RDT1_10Feb_0_3,RDT1,2021-02-10,10Feb,10-02-24,00:19,4,181,,7,98,13,Novel,before,1,
RDT1_10Feb_0_3,RDT1,2021-02-10,10Feb,10-02-24,00:19,4,182,,7,98,13,Novel,before,0,
RDT1_10Feb_0_3,RDT1,2021-02-10,10Feb,10-02-24,00:19,4,183,,7,98,13,Novel,before,NA,
RDT1_10Feb_0_3,RDT1,2021-02-10,10Feb,10-02-24,00:19,4,184,,7,98,13,Novel,before,0.45,
RDT1_10Feb_0_4,RDT1,2021-02-10,10Feb,10-02-24,00:32,1,185,,7,99,38,Silent,before,0.15,
RDT1_10Feb_0_5,RDT1,2021-02-10,10Feb,10-02-24,00:45,1,186,,7,100,16,Human,before,0.2,
RDT1_10Feb_2_1,RDT1,2021-02-10,10Feb,10-02-24,02:50,1,187,,7,101,14,Novel,before,0.625,
RDT1_10Feb_16_1,RDT1,2021-02-10,10Feb,10-02-24,16:21,2,188,,7,102,17,Human,before,0,
RDT1_10Feb_16_1,RDT1,2021-02-10,10Feb,10-02-24,16:21,2,189,,7,102,17,Human,before,0.631578947,
RDT1_10Feb_17_1,RDT1,2021-02-10,10Feb,10-02-24,17:02,1,190,,7,103,15,Dog,before,0.55,
RDT1_10Feb_17_2,RDT1,2021-02-10,10Feb,10-02-24,17:39,1,191,,7,104,39,Silent,before,0.75,
